episode,participant,pair_id,mode,path_rmse_mm,normal_offset_median_mm,normal_offset_rmse_mm,orientation_rmse_deg,speed_median_mm_s,speed_p95_mm_s,accel_p95_mm_s2,force_median_n,force_p95_n,force_rate_p95_n_s,duration_s,end_reason
comparison_gyc_gyc-01_darboux_0708_193702,gyc,gyc-01,darboux,5.738397530064917,18.90763252624732,18.61106547157576,6.198232886638353,3.186730511614834,21.73129141981535,163.0444168673703,1.5074192024407278,7.864570126981921,3.8281263778481422,34.498459903001276,reached
comparison_gyc_gyc-01_full_joint_0708_193818,gyc,gyc-01,full_joint,13.160142997291887,20.99501282400723,20.89436115370275,34.14606413456824,5.762379127861264,21.40249173262077,165.6320196012226,2.0966579892203185,7.976645809667429,15.254459380384608,9.02187261600011,reached
comparison_gyc_gyc-02_darboux_0708_193949,gyc,gyc-02,darboux,4.951571730968265,21.85510033314212,23.01590966223937,6.594303615030443,3.502701115493281,14.376705665141623,112.7962650518089,6.281998886305408,13.94428001205196,7.817300516772999,26.956558075999055,reached
comparison_gyc_gyc-02_full_joint_0708_194101,gyc,gyc-02,full_joint,6.783331774894564,27.6262301433962,26.990095275676527,17.817736224651807,8.58628896948186,32.71905743535944,257.057264089433,2.3741784070898193,11.699506860763956,23.03130578033918,21.323020854000788,reached
comparison_gyc_gyc-03_darboux_0708_194559,gyc,gyc-03,darboux,3.70270403628688,10.9355436236341,12.58041481104543,6.208859348444663,2.375974447473442,7.882883964509841,96.58907149040485,3.409000406571627,8.398828596522453,3.4694252556938974,38.89997341200069,reached
comparison_gyc_gyc-03_full_joint_0708_194730,gyc,gyc-03,full_joint,4.532502924089564,14.456925861391944,13.096952222341685,14.670682391085485,5.552560723164465,22.969954257599667,180.39244524830679,1.2172514159316083,10.691421299791411,19.279150999667614,16.056444482999723,reached
comparison_gyc_gyc-04_darboux_0708_200516,gyc,gyc-04,darboux,3.754822071331643,13.852363356158573,14.5031039033747,6.835323451378436,2.5249924141683624,6.9386390501486,90.08208498626799,3.603634809434408,6.763639838271847,3.013543827532675,26.13343370000075,reached
comparison_gyc_gyc-04_full_joint_0708_200659,gyc,gyc-04,full_joint,12.9802889752879,10.327822469564229,11.85115955431407,37.48212869069842,7.696110412882142,20.769193822076225,182.65054233365206,3.8962914953472674,26.78118908429579,33.889645439090174,9.138851482000973,reached
comparison_gyc_gyc-05_darboux_0708_200816,gyc,gyc-05,darboux,3.300095722355872,21.500464846046892,21.111828657380723,7.910887748605563,2.7256259796550273,8.104291556360328,94.70595097182611,4.657330555314827,7.74651959346136,4.376568954422708,24.783237468000152,reached
comparison_gyc_gyc-05_full_joint_0708_200932,gyc,gyc-05,full_joint,8.275330563178718,21.49889333151157,21.554388543349948,21.447275890304805,13.976017587840591,49.14410777374195,378.7022887391535,3.922025892963764,20.159322527923344,42.92265771208826,19.036560501999702,reached
