ts_plus,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33,probe_visible
520.55,0.889118979019,0.455933014995,0.0399064779828,-166.342953921,-0.392416619421,0.80430973341,-0.446200683039,-0.490411959562,-0.235534791379,0.381065530559,0.894042741411,-805.84203349,0,0,0,1,1
520.611,0.889762426458,0.454721211997,0.0393883716783,-166.54284064,-0.391754910065,0.805127768377,-0.445305925212,-0.755280181469,-0.234202721811,0.380785892528,0.89451170431,-806.02837368,0,0,0,1,1
520.672,0.889555683215,0.455327418266,0.0369814634053,-167.151828229,-0.393507283183,0.804861136531,-0.444241566025,-0.851548838901,-0.232040308011,0.380625134585,0.89514345352,-805.883404888,0,0,0,1,1
520.734,0.888609479219,0.457217099679,0.0364103996551,-167.746512706,-0.395613143024,0.804203988368,-0.443560803228,-0.833441862505,-0.232084972604,0.379747901712,0.895504381138,-805.561046221,0,0,0,1,1
520.793,0.888144825701,0.458207225052,0.0352832466097,-168.279140131,-0.39732654745,0.804180203083,-0.442069921688,-0.557223108697,-0.23093372052,0.378603142987,0.896286381046,-805.287700459,0,0,0,1,1
520.854,0.887948818289,0.458392731874,0.037722665132,-168.219777686,-0.396921490194,0.805138940634,-0.440686529063,-0.0897113796528,-0.232379488599,0.376334146259,0.896868097124,-805.140730021,0,0,0,1,1
520.917,0.888102220816,0.457754283955,0.0416588634233,-167.679944535,-0.39542584542,0.807081144567,-0.4384728348,0.166655051252,-0.234334901701,0.372935707065,0.897778431597,-805.053079129,0,0,0,1,1
520.979,0.88840026876,0.456724748116,0.0463407695756,-166.866246349,-0.393579815953,0.80973360122,-0.435231459719,-0.00753391762116,-0.236304657044,0.368420954226,0.899125191253,-804.879116299,0,0,0,1,1
521.039,0.888873193695,0.455286092925,0.0511763531215,-166.189925918,-0.391665468013,0.813077049025,-0.43070160612,-0.166051896249,-0.237702769643,0.362795101865,0.901042233953,-805.115374407,0,0,0,1,1
521.099,0.889267878328,0.454133337559,0.054456884705,-165.935794177,-0.389415368654,0.814181093165,-0.430656264541,-0.795330545597,-0.239913132676,0.361762434824,0.900871594357,-806.088549471,0,0,0,1,1
521.157,0.888579780187,0.455661042886,0.0529054651141,-166.309017434,-0.391134569224,0.812858655739,-0.431595359738,-1.25521589215,-0.239665856977,0.362813753579,0.900514551361,-807.006116882,0,0,0,1,1
521.24,0.887797753218,0.457854931911,0.0467334003241,-166.834592959,-0.394213246247,0.808915104644,-0.436179171857,-1.59197437361,-0.237510138445,0.368815963326,0.898645491466,-808.322196192,0,0,0,1,1
521.299,0.887596386698,0.458603977896,0.0430702423772,-166.343460069,-0.395416408457,0.806569866488,-0.439421112825,-1.49543113733,-0.236259429957,0.37299791143,0.897248036958,-808.763967561,0,0,0,1,1
521.357,0.88716090038,0.45898161411,0.0477641575526,-164.527955982,-0.393400434271,0.806356727582,-0.441616265777,-1.26674868661,-0.241208696263,0.372994243645,0.895931726782,-808.512571087,0,0,0,1,1
521.417,0.886583914207,0.459563049381,0.0526380728464,-162.29694997,-0.392445248593,0.807534155578,-0.44031274616,-1.17773095523,-0.244858510014,0.369716636382,0.896300127667,-807.511934892,0,0,0,1,1
521.478,0.885407529722,0.461728188845,0.0534844457536,-160.44534736,-0.393780666522,0.80624984293,-0.441472510412,-1.55365168911,-0.246962128645,0.369821944187,0.895679315722,-806.282622798,0,0,0,1,1
